Mission_ID,Mission_Name,Agency,Country_Region,Agency_Type,Program_Type,Mission_Category,Sub_Category,Launch_Date,End_Date,Duration,Launch_Vehicle,Launch_Site,Status,Mission_Phase,Crew_Type,Crew_Members,Destination,Objective,Key_Achievement,Cost_USD_Million,Partner_Agencies,Data_Returned,Failure_Reason,Mission_Outcome_Detail,Reference_URL
NA-00001,Explorer 1,NASA,USA,Government,Technology Demo,Mercury,Orbiter,1976-01-12,1987-02-18,11.1 years,Pegasus,Kennedy Space Center,Failed,Past,Uncrewed,N/A,Mercury,Black hole imaging and stellar cataloguing,Debris impact damaged solar panels,7708.6,None,Partial,Debris impact damaged solar panels,Exceeded planned science return by 3x,https://www.nasa.gov/mission/explorer-1
NA-00002,Pioneer 1,NASA,USA,Government,Human Spaceflight,Saturn,Flyby,1977-05-01,1984-07-15,7.2 years,Saturn V,Kennedy Space Center,Success,Past,Uncrewed,N/A,Saturn,Orbital mechanics experiment for future missions,Detected water ice at target location,11802.2,SpaceX,Yes,N/A,Detected organic molecules at surface,https://www.nasa.gov/mission/pioneer-1
NA-00003,Mercury-Redstone 1,NASA,USA,Government,Sounding Rocket,Earth Observation,Climate Study,1966-01-13,1969-12-13,3.9 years,Pegasus,Kennedy Space Center,Failed,Past,Crewed,"Pilot, PS2",Earth Observation,Gamma-ray burst detection and cataloguing,N/A,7836.7,None,Yes,N/A,Planned - objectives to be confirmed post-launch,https://www.nasa.gov/mission/mercury-redstone-1
NA-00004,Freedom 7,NASA,USA,Government,Satellite,Mercury,Flyby,1987-07-06,1989-03-19,1.7 years,Titan,Wallops Flight Facility,Success,Past,Uncrewed,N/A,Mercury,Earth observation for disaster management,Demonstrated reusable rocket landing,10659.5,None,Partial,N/A,Failed to achieve orbit due to launch vehicle anomaly,https://www.nasa.gov/mission/freedom-7
NA-00005,Friendship 7,NASA,USA,Government,Commercial,Telescope,Radio,2012-09-09,N/A,Ongoing,SLS,Wallops Flight Facility,Ongoing,Past,Uncrewed,N/A,Telescope,Human lunar landing mission support,Discovered new geological features,4385.5,JAXA,Yes,N/A,Detected organic molecules at surface,https://www.nasa.gov/mission/friendship-7
NA-00006,Gemini 1,NASA,USA,Government,Satellite,ISS,Crew Transport,2008-05-30,2011-04-06,2.9 years,Pegasus,Wallops Flight Facility,Failed,Past,Uncrewed,N/A,ISS,Orbital mechanics experiment for future missions,Fuel leak detected pre-launch - scrubbed,2464.9,None,Yes,Fuel leak detected pre-launch - scrubbed,Demonstrated reusable rocket landing,https://www.nasa.gov/mission/gemini-1
NA-00007,Gemini 3,NASA,USA,Government,Satellite,Mercury,Flyby,2022-05-25,2022-04-14,N/A,Saturn V,Vandenberg SFB,Failed,Past,Uncrewed,N/A,Mercury,Commercial crew certification flight,Launch vehicle upper stage malfunction,13712.1,ISRO,Partial,Launch vehicle upper stage malfunction,Communication lost after initial deployment,https://www.nasa.gov/mission/gemini-3
NA-00008,Apollo 1,NASA,USA,Government,Robotic,Communication Satellite,LEO Constellation,1984-04-03,1995-01-10,10.8 years,SLS,Wallops Flight Facility,Success,Past,Uncrewed,N/A,Communication Satellite,Jupiter moon subsurface ocean investigation,Detected water ice at target location,6911.5,SpaceX,No,N/A,Detected organic molecules at surface,https://www.nasa.gov/mission/apollo-1
NA-00009,Apollo 7,NASA,USA,Government,Commercial,Communication Satellite,Geostationary,2014-10-23,2018-09-22,3.9 years,SLS,Vandenberg SFB,Success,Past,Uncrewed,N/A,Communication Satellite,Earth observation for disaster management,Successfully tested new propulsion system,3865.4,SpaceX,Partial,N/A,Broke distance record for agency,https://www.nasa.gov/mission/apollo-7
NA-00010,Apollo 8,NASA,USA,Government,Technology Demo,Communication Satellite,Geostationary,2020-06-04,2020-03-22,N/A,Space Shuttle,Kennedy Space Center,Success,Past,Uncrewed,N/A,Communication Satellite,Space debris monitoring and removal,Discovered new geological features,12681.9,CSA,Partial,N/A,Communication lost after initial deployment,https://www.nasa.gov/mission/apollo-8
NA-00011,Apollo 9,NASA,USA,Government,Satellite,Moon,Rover,1967-05-30,N/A,Ongoing,Saturn V,Vandenberg SFB,Ongoing,Past,Crewed,"PS2, MS3, Commander, MS2, MS1",Moon,Neptune and Uranus atmospheric study flyby,Broke distance record for agency,7261.9,None,No,N/A,Achieved supersonic retropropulsion,https://www.nasa.gov/mission/apollo-9
NA-00012,Apollo 10,NASA,USA,Government,Robotic,SmallSat,IoT Connectivity,1981-07-08,1992-03-07,10.7 years,Saturn V,Vandenberg SFB,Success,Past,Uncrewed,N/A,SmallSat,High-resolution Earth surface mapping,Mission ongoing - data collection in progress,13334.1,JAXA,Yes,N/A,First crewed landing at destination,https://www.nasa.gov/mission/apollo-10
NA-00013,Apollo 11,NASA,USA,Government,Commercial,Mercury,Flyby,1961-05-25,1969-09-12,8.3 years,Pegasus,Kennedy Space Center,Failed,Past,Uncrewed,N/A,Mercury,Next-generation communication satellite deployment,N/A,9085.2,None,No,N/A,Failed to achieve orbit due to launch vehicle anomaly,https://www.nasa.gov/mission/apollo-11
NA-00014,Apollo 12,NASA,USA,Government,Commercial,Moon,Lander,1974-03-09,1982-05-17,8.2 years,Delta IV,Wallops Flight Facility,Success,Past,Uncrewed,N/A,Moon,Solar wind and coronal mass ejection monitoring,Discovered new geological features,1350.1,None,Yes,N/A,Mission ongoing - data collection in progress,https://www.nasa.gov/mission/apollo-12
NA-00015,Apollo 13,NASA,USA,Government,Sounding Rocket,Jupiter,Flyby,1984-10-31,1992-11-19,8.1 years,SLS,Vandenberg SFB,Success,Past,Uncrewed,N/A,Jupiter,Reusable launch vehicle technology demonstration,Achieved supersonic retropropulsion,12141.5,ESA,Yes,N/A,Partial success - secondary objectives met,https://www.nasa.gov/mission/apollo-13
NA-00016,Apollo 14,NASA,USA,Government,Robotic,Technology Demo,Debris Removal,1965-01-02,1979-08-25,14.7 years,Atlas V,Kennedy Space Center,Success,Past,Uncrewed,N/A,Technology Demo,High-resolution Earth surface mapping,Completed all primary mission objectives,7221.8,None,No,N/A,Captured highest resolution images to date,https://www.nasa.gov/mission/apollo-14
NA-00017,Apollo 15,NASA,USA,Government,Sounding Rocket,Telescope,Optical,1958-04-07,1969-10-24,11.6 years,Space Shuttle,Wallops Flight Facility,Failed,Past,Uncrewed,N/A,Telescope,Technology demonstration for future deep space missions,Power system failure in transit,2653.7,None,Partial,Power system failure in transit,Historic first for agency and country,https://www.nasa.gov/mission/apollo-15
NA-00018,Apollo 16,NASA,USA,Government,Technology Demo,Sounding Rocket,Atmospheric Study,1983-09-06,1997-02-11,13.4 years,Delta IV,Kennedy Space Center,Success,Past,Uncrewed,N/A,Sounding Rocket,Human lunar landing mission support,Demonstrated reusable rocket landing,10383.4,JAXA,Yes,N/A,Detected water ice at target location,https://www.nasa.gov/mission/apollo-16
NA-00019,Apollo 17,NASA,USA,Government,Satellite,Deep Space,Interstellar,1983-05-08,1984-09-17,1.4 years,Delta IV,Vandenberg SFB,Success,Past,Uncrewed,N/A,Deep Space,Gamma-ray burst detection and cataloguing,Confirmed presence of subsurface water,6146.2,None,No,N/A,Achieved supersonic retropropulsion,https://www.nasa.gov/mission/apollo-17
NA-00020,Skylab 1,NASA,USA,Government,Telescope,Asteroid,Rendezvous,2019-05-29,2021-03-18,1.8 years,Pegasus,Kennedy Space Center,Success,Past,Uncrewed,N/A,Asteroid,Reusable launch vehicle technology demonstration,Achieved supersonic retropropulsion,1089.8,None,Partial,N/A,Extended mission beyond original timeline,https://www.nasa.gov/mission/skylab-1
NA-00021,Skylab 2,NASA,USA,Government,Robotic,Deep Space,Probe,1991-10-09,1992-06-30,265 days,Falcon 9,Kennedy Space Center,Failed,Past,Uncrewed,N/A,Deep Space,Solar wind and coronal mass ejection monitoring,N/A,2725.7,None,No,N/A,Extended mission beyond original timeline,https://www.nasa.gov/mission/skylab-2
NA-00022,Skylab 3,NASA,USA,Government,Satellite,Mars,Sample Return,2019-06-02,2022-09-24,3.3 years,Pegasus,Kennedy Space Center,Failed,Past,Crewed,"PS2, Commander, MS2",Mars,Gamma-ray burst detection and cataloguing,Power system failure in transit,12538.8,None,No,Power system failure in transit,Captured highest resolution images to date,https://www.nasa.gov/mission/skylab-3
NA-00023,Skylab 4,NASA,USA,Government,Technology Demo,Venus,Lander,2007-05-14,N/A,Ongoing,Atlas V,Vandenberg SFB,Ongoing,Past,Uncrewed,N/A,Venus,Mars atmospheric study and habitability assessment,Completed all primary mission objectives,10157.1,None,Partial,N/A,Extended mission beyond original timeline,https://www.nasa.gov/mission/skylab-4
NA-00024,Viking 1,NASA,USA,Government,Robotic,Sun/Solar,L1 Point,2007-09-27,2013-07-24,5.8 years,Pegasus,Vandenberg SFB,Success,Past,Uncrewed,N/A,Sun/Solar,Black hole imaging and stellar cataloguing,Captured highest resolution images to date,3171.2,ISRO,No,N/A,Historic first for agency and country,https://www.nasa.gov/mission/viking-1
